Time,Voltage_8.2_B_[V],Shunt_8.2_B_[V],Voltage_9.09_C_[V],Shunt_9.09_C_[V],Voltage_4.1_D_[V],Shunt_4.1_D_[V],Voltage_4.1_E_[V],Shunt_4.1_E[V],Voltage_VarR[V],Shunt_VarR[V],Current_B[A],Power_B[W],Current_C[],Power_C[],Current_D[],Power_D_[],Current_E[],Power_E[],Current_VarR[],Power_VarR[],Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_9,Sensor_10
53.0,0.0016324,-0.0005237,-0.0022911999999999,-0.00010526,-0.0146165999999999,-0.0025699,0.0065692,0.0019037,0.0055984,-0.0013244,0.0005237,8.5519e-07,0.00010526,2.4002e-07,0.0025699,3.770000000000001e-05,0.0019037,1.26e-05,0.0013244,7.414699999999999e-06,27.838556197,27.8554101975,25.6024744975,25.9571063975,26.429936411,26.3069038375
54.0,0.0016311,-0.0005229,-0.0022905,-0.0001003999999999,-0.0146334,-0.0025808,0.0065566,0.0019085,0.0056024,-0.0013477,0.0005229,8.5332e-07,0.0001003999999999,2.3255e-07,0.0025808,3.797e-05,0.0019085,1.2550000000000002e-05,0.0013477,7.5578e-06,27.835126498,27.853228,25.60094757,25.95696945,26.427679064,26.30362892
55.0,0.0016430999999999,-0.0005291,-0.0023076,-0.00010172,-0.014648,-0.0025829,0.0065345,0.0019106,0.005599,-0.0013407,0.0005291,8.6846e-07,0.00010172,2.3521e-07,0.0025829,3.8e-05,0.0019106,1.248e-05,0.0013407,7.512299999999999e-06,27.831696799,27.8510458025,25.5994206425,25.9568325025,26.425421717,26.3003540025
56.0,0.0016462,-0.0005204,-0.0023243,-0.00010547,-0.0146622,-0.0025922,0.0065206,0.0018939999999999,0.0055983,-0.0013343,0.0005204,8.5674e-07,0.00010547,2.4482e-07,0.0025922,3.8e-05,0.0018939999999999,1.202e-05,0.0013343,7.469799999999999e-06,27.8282671,27.848863605,25.597893715,25.956695555,26.42316437,26.297079085
57.0,0.0016552,-0.0005119,-0.0023317999999999,-9.748e-05,-0.0146681,-0.0025802,0.0064999,0.0018809,0.0055917,-0.0013437,0.0005119,8.4915e-07,9.748e-05,2.2777000000000006e-07,0.0025802,3.8e-05,0.0018809,1.2e-05,0.0013437,7.5188e-06,27.824837401,27.8466814075,25.5963667875,25.9565586075,26.420907023,26.2938041675
58.0,0.0016551,-0.0005117,-0.0023283,-8.123e-05,-0.0146777,-0.0025823,0.0064946,0.0018741,0.0055829,-0.0013334,0.0005117,8.483499999999999e-07,8.123e-05,1.8876e-07,0.0025823,3.8e-05,0.0018741,1.2e-05,0.0013334,7.440099999999999e-06,27.821407702,27.84449921,25.59483986,25.95642166,26.418649676,26.29052925
59.0,0.0016618,-0.0005199,-0.0023316,-9.339e-05,-0.0146886,-0.0025938,0.0064913,0.00188,0.0055691,-0.0012772,0.0005199,8.6463e-07,9.339e-05,2.1767e-07,0.0025938,3.8e-05,0.00188,1.2e-05,0.0012772,7.1065e-06,27.817978003,27.8423170125,25.5933129325,25.9562847125,26.416392329,26.2872543325
60.0,0.0016654,-0.0005177,-0.002352,-0.00010368,-0.0146816,-0.0025890999999999,0.0064696,0.001888,0.0055618,-0.001265,0.0005177,8.6411e-07,0.00010368,2.439700000000001e-07,0.0025890999999999,3.8e-05,0.001888,1.2e-05,0.001265,7.0342e-06,27.814548304,27.840134815,25.591786005,25.956147765,26.414134982,26.283979415
61.0,0.0016627,-0.0005210999999999,-0.002356,-9.341e-05,-0.0146839,-0.0026005,0.0064611,0.0018751,0.0055613,-0.0012743,0.0005210999999999,8.6733e-07,9.341e-05,2.2073e-07,0.0026005,3.8e-05,0.0018751,1.2e-05,0.0012743,7.0852e-06,27.811118605,27.8379526175,25.5902590775,25.9560108175,26.411877635,26.2807044975
62.0,0.0016578,-0.0005144,-0.0023547,-9.418e-05,-0.0147066,-0.0025984,0.0064533,0.0018777,0.005565,-0.0012749,0.0005144,8.554699999999999e-07,9.418e-05,2.2216e-07,0.0025984,3.805e-05,0.0018777,1.2e-05,0.0012749,7.0891e-06,27.807688906,27.83577042,25.58873215,25.95587387,26.409620288,26.27742958
63.0,0.0016546,-0.0005157,-0.0023472,-9.279e-05,-0.0147204,-0.0026032,0.0064399999999999,0.00187,0.0055594,-0.0012867999999999,0.0005157,8.5349e-07,9.279e-05,2.1847e-07,0.0026032,3.805e-05,0.00187,1.2e-05,0.0012867999999999,7.150799999999999e-06,27.804259207,27.8335882225,25.5872052225,25.9557369225,26.407362941,26.2741546625
64.0,0.0016367,-0.0005164999999999,-0.0023346,-0.0001017799999999,-0.0147304999999999,-0.0026043999999999,0.0064306,0.0018709999999999,0.0055438,-0.0012680999999999,0.0005164999999999,8.4627e-07,0.0001017799999999,2.3984e-07,0.0026043999999999,3.810000000000001e-05,0.0018709999999999,1.2e-05,0.0012680999999999,7.036899999999999e-06,27.800829508,27.831406025,25.585678295,25.955599975,26.405105594,26.270879745
65.0,0.0016295999999999,-0.0005141,-0.0023027,-9.351e-05,-0.0147467,-0.0026049999999999,0.0064277,0.0018720999999999,0.0055322999999999,-0.0012598,0.0005141,8.363799999999999e-07,9.351e-05,2.1644e-07,0.0026049999999999,3.834e-05,0.0018720999999999,1.2e-05,0.0012598,6.9725e-06,27.797399809,27.8292238275,25.5841513675,25.9554630275,26.402848247,26.2676048275
66.0,0.0016157,-0.000507,-0.0022793,-9.33e-05,-0.0147608,-0.0026068999999999,0.0064359,0.0018656,0.0055137,-0.001259,0.000507,8.208499999999999e-07,9.33e-05,2.1343e-07,0.0026068999999999,3.827e-05,0.0018656,1.2e-05,0.001259,6.937400000000001e-06,27.79397011,27.82704163,25.58262444,25.95532608,26.4005909,26.26432991
